# blockdev --setra X /dev/sdc1
# X MB/s for 1 file
256 29.594450 ( 0.202344 )
512 45.073000 ( 4.923493 )
768 49.738500 ( 3.006261 )
1024 53.987300 ( 2.303554 )
1280 55.351250 ( 1.595667 )
1536 55.081100 ( 0.263811 )
1792 57.917400 ( 1.297091 )
2048 61.517400 ( 0.178530 )
2304 63.187100 ( 0.215371 )
2560 65.803700 ( 1.185785 )
2816 65.251700 ( 2.332808 )
3072 67.049850 ( 0.339255 )
3328 67.572450 ( 2.205544 )
3584 69.131700 ( 1.602022 )
3840 66.291000 ( 1.667356 )
4096 64.991600 ( 5.632347 )
4352 72.357750 ( 0.023721 )
4608 71.910600 ( 0.222311 )
4864 74.292050 ( 1.986451 )
5120 66.842850 ( 3.988805 )
